lines_disconnected;0
AUXONL31COLLO;[{'type': 'consignation_manoeuvre', 'start': '20241202T0730Z', 'end': '20241202T1545Z', 'details': [{'type': 'manoeuvre', 'start': '20241202T0730Z', 'end': '20241202T1535Z'}, {'type': 'consigné', 'start': '20241202T1540Z', 'end': '20241202T1540Z'}, {'type': 'manoeuvre', 'start': '20241202T1545Z', 'end': '20241202T1545Z'}]}]
BOISSL61GEN.P;[{'type': 'suav_manoeuvre', 'start': '20241202T0000Z', 'end': '20241202T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241202T0000Z', 'end': '20241202T2355Z'}]}]
CHALOL31LOUHA;[{'type': 'suav_manoeuvre', 'start': '20241202T0000Z', 'end': '20241202T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241202T0000Z', 'end': '20241202T2355Z'}]}]
COLLOL31GENLI;[{'type': 'consignation_manoeuvre', 'start': '20241202T0725Z', 'end': '20241202T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241202T0725Z', 'end': '20241202T0725Z'}, {'type': 'consigné', 'start': '20241202T0730Z', 'end': '20241202T2355Z'}]}]
COMMUL61VIELM;[{'type': 'consignation', 'start': '20241202T0000Z', 'end': '20241202T2355Z', 'details': [{'type': 'consigné', 'start': '20241202T0000Z', 'end': '20241202T2355Z'}]}]
CURTIL61ZCUR5;[{'type': 'suav_manoeuvre', 'start': '20241202T0000Z', 'end': '20241202T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241202T0000Z', 'end': '20241202T2355Z'}]}]
GEN.PL61GENIS;[{'type': 'suav_manoeuvre', 'start': '20241202T0000Z', 'end': '20241202T0600Z', 'details': [{'type': 'manoeuvre', 'start': '20241202T0000Z', 'end': '20241202T0600Z'}]}]
GEN.PL62GENIS;[{'type': 'suav_manoeuvre', 'start': '20241202T0205Z', 'end': '20241202T0350Z', 'details': [{'type': 'manoeuvre', 'start': '20241202T0205Z', 'end': '20241202T0350Z'}]}]
GEN.PL63GENIS;[{'type': 'suav_manoeuvre', 'start': '20241202T0000Z', 'end': '20241202T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241202T0000Z', 'end': '20241202T2355Z'}]}]
GEN.PL64GENIS;[{'type': 'suav_manoeuvre', 'start': '20241202T0000Z', 'end': '20241202T0500Z', 'details': [{'type': 'manoeuvre', 'start': '20241202T0000Z', 'end': '20241202T0500Z'}]}]
GEN.PL66GENIS;[{'type': 'suav_manoeuvre', 'start': '20241202T0000Z', 'end': '20241202T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241202T0000Z', 'end': '20241202T2355Z'}]}]
GENLIL31MAGNY;[{'type': 'consignation', 'start': '20241202T0720Z', 'end': '20241202T2355Z', 'details': [{'type': 'consigné', 'start': '20241202T0720Z', 'end': '20241202T2355Z'}]}]
LOUHAL31PYMON;[{'type': 'consignation', 'start': '20241202T0625Z', 'end': '20241202T1615Z', 'details': [{'type': 'consigné', 'start': '20241202T0625Z', 'end': '20241202T1615Z'}]}]
GEN.PY762;[{'type': 'consignation', 'start': '20241202T0000Z', 'end': '20241202T2355Z', 'details': [{'type': 'consigné', 'start': '20241202T0000Z', 'end': '20241202T2355Z'}]}]
VIELMY771;[{'type': 'suav_manoeuvre', 'start': '20241202T0000Z', 'end': '20241202T0310Z', 'details': [{'type': 'manoeuvre', 'start': '20241202T0000Z', 'end': '20241202T0310Z'}]}, {'type': 'suav_manoeuvre', 'start': '20241202T2000Z', 'end': '20241202T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241202T2000Z', 'end': '20241202T2355Z'}]}]
VIELMY762;[{'type': 'suav_manoeuvre', 'start': '20241202T2235Z', 'end': '20241202T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241202T2235Z', 'end': '20241202T2355Z'}]}]
VIELMY763;[{'type': 'suav_manoeuvre', 'start': '20241202T0000Z', 'end': '20241202T0310Z', 'details': [{'type': 'manoeuvre', 'start': '20241202T0000Z', 'end': '20241202T0310Z'}]}]
CHALOY633;[{'type': 'consignation', 'start': '20241202T0000Z', 'end': '20241202T2355Z', 'details': [{'type': 'consigné', 'start': '20241202T0000Z', 'end': '20241202T2355Z'}]}]
GENISY611;[{'type': 'suav_manoeuvre', 'start': '20241202T0000Z', 'end': '20241202T0600Z', 'details': [{'type': 'manoeuvre', 'start': '20241202T0000Z', 'end': '20241202T0600Z'}]}]
GENISY614;[{'type': 'suav_manoeuvre', 'start': '20241202T0000Z', 'end': '20241202T0500Z', 'details': [{'type': 'manoeuvre', 'start': '20241202T0000Z', 'end': '20241202T0500Z'}]}]
GENISY613;[{'type': 'suav_manoeuvre', 'start': '20241202T0000Z', 'end': '20241202T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241202T0000Z', 'end': '20241202T2355Z'}]}]
GENISY612;[{'type': 'suav_manoeuvre', 'start': '20241202T0205Z', 'end': '20241202T0350Z', 'details': [{'type': 'manoeuvre', 'start': '20241202T0205Z', 'end': '20241202T0350Z'}]}]
GENISY616;[{'type': 'suav_manoeuvre', 'start': '20241202T0000Z', 'end': '20241202T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241202T0000Z', 'end': '20241202T2355Z'}]}]
